'state_territory','county_name','county_web_link','founded','named_for','seat','largest_city','total_population','density','congressional_district'
'missouri','taney_county','http://www.taneycounty.org/','january 4 1837','roger b. taney','forsyth','branson','56066','86/sqmi (33/km2)','7th'
'missouri','texas_county','http://www.texascountymissouri.gov/','february 14 1845[1]','republic of texas','houston','licking','24487','21/sqmi (8.0/km2)','8th'
'missouri','vernon_county','http://www.vernoncountymo.org/','february 27 1855','colonel miles vernon state senator and veteran of the battle of new orleans','nevada','nevada','21159','25/sqmi (9.8/km2)','4th'
'missouri','warren_county','http://www.warrencountymo.org','january 5 1833','general joseph warren','warrenton','warrenton','32513','74/sqmi (29/km2)','3rd'
'missouri','washington_county','http://www.washingtoncountymo.us/','nan','nan','nan','nan','nan','nan','nan'
'missouri','wayne_county','nan','december 11 1818','anthony wayne','greenville','piedmont','10974','14/sqmi (5.5/km2)','8th'
'missouri','webster_county','http://www.webstercountymo.gov/','march 3 1854','daniel webster','marshfield','marshfield','36202','67/sqmi (26/km2)','nan'
'missouri','worth_county','http://www.worthcounty.us/','february 8 1861','william j. worth','grant city','grant city','1973','7.4/sqmi (2.9/km2)','6th'
'missouri','wright_county','http://www.wrightcountymo.com/','january 29 1841','silas wright','hartville','mountain grove','18815','28/sqmi (11/km2)','8th'
'montana','beaverhead_county','http://www.beaverheadcounty.org','1865','nan','dillon','dillon','9371','1.7/sqmi (0.65/km2)','at-large'
'montana','big_horn_county','http://www.bighorncountymt.gov/','january 13 1913','bighorn sheep','hardin','hardin','13124','2.6/sqmi (1.0/km2)','at-large'
'montana','blaine_county','http://www.blainecounty-mt.gov','1912','james g. blaine','chinook','chinook','7044','1.7/sqmi (0.64/km2)','at-large'
'montana','broadwater_county','http://www.co.broadwater.mt.us','1897','charles arthur broadwater','townsend','townsend','6774','5.5/sqmi (2.1/km2)','at-large'
'montana','carbon_county','http://co.carbon.mt.us/','march 4 1895','nan','red lodge','red lodge','10473','5.1/sqmi (2.0/km2)','at-large'
'montana','carter_county','http://www.cartercountymt.info','1917','thomas h. carter','ekalaka','nan','1415','0.42/sqmi (0.16/km2)','at-large'
'montana','cascade_county','http://www.cascadecountymt.gov/index.php','1887','great falls of the missouri river','great falls','great falls','84414','31/sqmi (12/km2)','at-large'
'montana','chouteau_county','http://www.co.chouteau.mt.us','1865','pierre chouteau jr.','fort benton','fort benton','5895','1.5/sqmi (0.57/km2)','at-large'
'montana','custer_county','nan','june 2 1865','george armstrong custer','miles city','miles city','11867','3.1/sqmi (1.2/km2)','at-large'
'montana','daniels_county','nan','1920','mansfield daniels','scobey','scobey','1661','1.2/sqmi (0.45/km2)','at-large'
'montana','dawson_county','http://www.dawsoncountymontana.org','january 15 1869','nan','glendive','glendive','8940','3.8/sqmi (1.4/km2)','at-large'
'montana','deer_lodge_county','http://www.anacondadeerlodge.mt.gov/','1865','nan','anaconda','anaconda','9421','13/sqmi (4.9/km2)','at-large'
'montana','fallon_county','http://www.falloncounty.net','december 9 1913','nan','baker','baker','3049','1.9/sqmi (0.73/km2)','at-large'
'montana','fergus_county','http://www.co.fergus.mt.us','1885','james fergus','lewistown','lewistown','11446','2.6/sqmi (1.0/km2)','at-large'
'montana','flathead_county','http://flathead.mt.gov','1893','flathead indians','kalispell','kalispell','104357','20/sqmi (7.7/km2)','at-large'
'montana','gallatin_county','http://www.gallatin.mt.gov','1865','gallatin river (albert gallatin)','west yellowstone','bozeman','118960','45/sqmi (17/km2)','1st'
'montana','garfield_county','http://www.garfieldco.us/index.html','february 7 1919[1]','nan','jordan','nan','1173','0.24/sqmi (0.093/km2)','at-large'
'montana','glacier_county','http://www.glaciercountymt.org','1919','the glaciers in glacier national park','cut bank','cut bank','13778','4.5/sqmi (1.8/km2)','at-large'
'montana','golden_valley_county','nan','march 8 1920[1]','nan','ryegate','nan','823','0.70/sqmi (0.27/km2)','at-large'
'montana','granite_county','http://www.co.granite.mt.us','march 2 1893[1]','nan','philipsburg','nan','3309','1.9/sqmi (0.74/km2)','at-large'
'montana','hill_county','http://hillcounty.us/','1912','james j. hill','havre','havre','16309','5.6/sqmi (2.2/km2)','at-large'
'montana','jefferson_county','http://www.jeffersoncounty-mt.gov/','february 2 1865[1]','thomas jefferson','boulder','nan','12085','7/sqmi (3/km2)','at-large'
'montana','judith_basin_county','http://www.co.judith-basin.mt.us','december 10 1920','nan','stanford','nan','2023','1.0/sqmi (0.4/km2)','at-large'
'montana','lake_county','http://www.lakemt.gov/','1923','flathead lake','polson','polson','31134','19/sqmi (7.3/km2)','at-large'
'montana','lewis_and_clark_county','https://www.lccountymt.gov/home.html','june 2 1865','meriwether lewis and william clark','helena','helena','70973','20/sqmi (7.8/km2)','at-large'
'montana','liberty_county','http://www.co.liberty.mt.us','february 11 1920[1]','nan','chester','nan','1959','1.4/sqmi (0.52/km2)','at-large'
'montana','lincoln_county','http://www.lincolncountymt.us','march 9 1909[1]','abraham lincoln','libby','libby','19677','5.4/sqmi (2.1/km2)','at-large'
'montana','madison_county','http://www.madison.mt.gov','1865','james madison[1]','virginia city','nan','8623','2.4/sqmi (0.92/km2)','at-large'
'montana','mccone_county','http://mcconecountymt.com/','1919','nan','circle','nan','1729','0.64/sqmi (0.25/km2)','at-large'
'montana','meagher_county','http://www.meagherco.com','november 16 1867','thomas francis meagher','white sulphur springs','white sulphur springs','1927','0.80/sqmi (0.31/km2)','at-large'
'montana','mineral_county','http://www.co.mineral.mt.us','1914','nan','superior','nan','4535','3.7/sqmi (1.4/km2)','at-large'
'montana','missoula_county','http://www.missoulacounty.us','december 14 1860','nan','missoula','missoula','117922','45/sqmi (17/km2)','at-large'
